doc number,headline,doc length |D|,snippet,Doc path
12,HOUSE GOP MAY SOFTEN ON SPENDING TO CLEAR DECKS FOR CLINTONINQUIRY ,1320,WASHINGTON _ With four days until temporary financing for thegovernment runs out House Republican leaders Tuesday demonstrateda new willingness to resolve several of the spending issues thathad pointed toward a government shutdown. Republicans want to keep the spotlight on the impeachmentinvestigation of President Clinton and are therefore eager to brushaway any matters that might interfere.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981006.0391
13,BRAZILIAN PRESIDENT'S NARROW RE-ELECTION DIMS HOPE FOR REFORM,863,RIO DE JANEIRO Brazil _ Through the anxious weeks leading up tothe national elections here on Sunday as some $30 billion fledBrazil despite the doubling of domestic interest ratesinternational financial officials watched for the government totackle cost-cutting reforms as soon as voting ended. But Monday as official returns indicated President FernandoHenrique Cardoso was barely squeaking through to re-election andgovernors allied to him were locked in runoffs later this monththe road to reform is looming longer and more complex.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981005.0331
14,Turkey still suspicious despite deal with Syria,204,ANKARA Turkey (AP) _ Foreign Minister Ismail Cem said WednesdayTurkey was remaining cautious towards neighboring Syria despite adeal with Damascus to crack down on a Kurdish rebel group.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981021.0554
15,EDITORIAL: BUDGET SHOWDOWN IN WASHINGTON ,479,The New York Times said in an editorial for Wednesday Oct.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981006.0397
16,Weak demand seen lowering inflation in Philippines in October,434,MANILA Philippines (AP) _ Weak consumer demand is expected tohave lowered inflation pressure on all commodity groups in thePhilippines in October economists said Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981104.0507
17,CONGRESS EXTENDS DEADLINE ON STALLED SPENDING TALKS ,829,WASHINGTON _ Budget negotiations faltered Friday promptingCongress to delay until midnight Monday its deadline for passing aspending bill to keep the government open. Republican leaders vowed they would not let the government shutdown.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981009.0452
18,East Timor settlement talks at pivotal stage U.N. envoy says,277,LISBON Portugal (AP) _ Portugal and Indonesia are mulling a newproposal to settle their dispute over East Timor and talks betweenthe two sides are at a crucial stage according to a U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981106.0542
19,HEAT DAMAGE FOUND IN WIRES OF SWISSAIR VIDEO SYSTEM ,696,WASHINGTON _ Investigators looking into the crash last month ofSwissair Flight 111 off the coast of Nova Scotia have found ``heatdamage'' in wires from the plane's in-flight entertainment systemprompting the airline to disconnect the system on all of its jumbojets Swissair officials said Thursday. The Transportation Safety Board of Canada said in a statementthat there was not enough information to determine whether the heatdamage was a possible source of the smoke that the pilots reportedin the cockpit shortly before the crash or whether it was ``merelythe byproduct of other events.'' One aviation safety official called it ``a circumstantialclue.'' The entertainment system installed by Swissair is apparently notused by any other airline although the Federal AviationAdministration _ which approved the installation for Swissair _said that if it found an airline using the same equipment it wouldask that the system be turned off. The system is installed on the first-class and business-classseats of Swissair's 15 surviving MD-11s and its three 747s.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/NYT19981029.0472
20,Kurdish women go on hunger strike,240,YEREVAN Armenia (AP) _ Seven female members of a Kurdish groupwere on a three-day hunger strike Tuesday in support of acontroversial Kurdish leader whom they claim is being persecuted.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981110.0230
21,PALESTINIAN AIRLINES TAKES TO THE AIR ,1118,RAFAH Gaza Strip _ Cruising at 19000 feet on Saturday in thecockpit of the first Palestinian Airlines flight to depart fromGaza's new international airport Capt.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/NYT19981206.0110
22,Elections to key Iranian assembly apparently marred by low turnout,602,TEHRAN Iran (AP) _ Iran's official media boasted about a hugeturnout in elections Friday for the council that oversees thecountry's supreme leader.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981023.1147
23,ABORTION PROVIDER KILLED BY SNIPER'S BULLET ,1060,Dr.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981024.0193
24,LIBYA HOPES ITS ARCHAEOLOGICAL TREASURES WILL LURE TOURISTS ,837,SABRATHA Libya _ Among majestic Roman ruins set against anazure sea Sebastian Cuisenier walked alone a rare visitor to asite that almost anywhere else in the world would be thronged withtourists. ``I've always liked pariah countries'' Cuisenier 27 aFrenchman from Marseilles said when asked why he had includedLibya to a two-month journey through the region.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/NYT19981021.0303
25,ABORTION AND CAMPAIGN FUNDS DOMINATE ATTORNEY GENERAL DEBATE,806,NEW YORK _ In the second and final debate in the race for stateattorney general Eliot Spitzer the Democratic challenger accusedRepublican incumbent Dennis Vacco on Sunday of ignoring the threatposed by radical anti-abortion advocates thereby helping to easethe way for this weekend's slaying of an obstetrician. The obstetrician Dr.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0239
26,WEATHER ,427,NATIONAL FORECAST &QL; Low pressure will move northeast over the northern Great LakesThursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981118.0287
27,British police arrest Pinochet on murder charges,482,LONDON (AP) _ British police said Saturday they have arrestedformer Chilean dictator Gen.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/APW19981017.0306
28,Bin Laden `hero' to some who warn U.S. against his capture,583,ISLAMABAD Pakistan (AP) _ An Islamic militant group on Thursdaythreatened to retaliate if Saudi dissident Osama bin Laden isarrested and described Washington's No.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30005t/APW19981105.0282
29,WEB SITE OWNER SAYS HE HAD NO ADVANCE WORD ON DOCTOR'S SLAYING,625,Neal Horsley a 54-year-old computer programmer in CarrolltonGa. does not understand what the fuss is about. Three years ago he established a Web site called ``TheNuremberg Files'' a list attempting in his words ``to record thename of every person working in the baby slaughter business acrossthe United States of America.'' Each name in the list is either in black type meaning``working''; in gray meaning ``wounded;'' or has a line throughit meaning ``fatality.'' In an interview Sunday Horsley said that shortly after hearingnews reports Friday night that a doctor who performed abortions hadbeen shot and killed in his kitchen in a suburb of Buffalo N.Y.he drew a line through the name of the doctor Barnett Slepian onthe Web site. Abortion-rights organizations have denounced his actionimplying that Horsley may have crossed out Slepian's name before hewas killed. ``I certainly did not have advance information'' Horsley said.``I'm the only one who can change anything on the Web site.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0236
30,SYRIA AGREES TO STOP SUPPORTING KURDS DEFUSING CRISIS WITHTURKEY ,640,ISTANBUL Turkey _ A three-week-old crisis between Turkey andSyria appears to have been at least temporarily defused by thesigning of an agreement in which Syria agreed to stop supportingKurdish rebels who are demanding a homeland in Turkey. Turkey had demanded that Syria cease all support for theguerrilla force known as the Kurdistan Workers Party or PKK whichis fighting for a Kurdish homeland in southeastern Turkey.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/NYT19981021.0318
31,Zimbabwean president arrives in Egypt,158,CAIRO Egypt (AP) _ Zimbabwean President Robert Mugabe arrivedMonday in Egypt after meeting with Libyan leader Moammar Gadhafi.It was not clear if his plane flew directly from Libya in violationof a U.N.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981123.1153
32,Government ready to give up stake in Philippine Airlines,444,MANILA Philippines (AP) _ The Philippine government is ready togive up its stake in ailing Philippine Airlines and will not infuseany additional capital if a new investor possibly Cathay PacificAirways comes in officials said Tuesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/APW19981110.0245
33,Russian lawmakers urge political asylum for Kurdish rebel leader,244,MOSCOW (AP) _ Russia's parliament on Wednesday asked PresidentBoris Yeltsin to offer political asylum to Kurdish rebel leaderAbdullah Ocalan who is wanted in Turkey on charges of heading aterrorist organization.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981104.0265
34,Palestinian airport opens; hailed as step toward statehood,899,DAHANIEH Gaza Strip (AP) _ Taking a major step towardstatehood the Palestinians on Tuesday inaugurated GazaInternational Airport their first gateway to the world withcheers tears and an outpouring of patriotism.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981124.0256
35,A weakened Babs heads toward China,105,TAIPEI Taiwan (AP) _ Typhoon Babs weakened into a severetropical storm Sunday night after it triggered massive flooding andlandslides in Taiwan and slammed Hong Kong with strong winds.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31011t/APW19981025.0922
36,In aftermath of embassy bombing many Kenyans left needy,759,NAIROBI Kenya (AP) _ Solemn-faced Kenyans whose relatives werekilled in the terrorist bombing of a U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/APW19981002.0556
37,U.S. SEEKING OTHERS' INPUT ON NEW RULES FOR IMF ,703,WASHINGTON _ The Clinton administration has begun to consultforeign governments about changes that will be demanded of theInternational Monetary Fund under a deal with Congress to providethe fund with $18 billion administration and congressionalofficials said Sunday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981011.0181
38,SEVERED HEADS OF 4 KIDNAPPED WESTERNERS FOUND IN CHECHNYA ,1141,MOSCOW _ The severed heads of four kidnapping victims _identified as three Britons and a New Zealander _ were foundTuesday on the side of a road in Chechnya the breakaway region onRussia's southern border that emerged undefeated from a brutal wartwo years ago only to be engulfed by a wave of kidnappings andcrime. The gruesome killings heightened alarm and outrage about thevolatile situation in the region which spun out of Moscow'scontrol long ago.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/NYT19981208.0294
39,Muslim leader in Chechnya escapes attempt on life,384,MOSCOW (AP) _ A bomb exploded in a car carrying a senior Muslimcleric in breakaway Chechnya on Thursday but he was not hurtRussian news agencies reported.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981026.0225
40,UN chief doesn't rule out Libyan visit U.N. officials optimistic,435,UNITED NATIONS (AP) _ Secretary-General Kofi Annan saidWednesday that he may travel to Libya next week in hopes of closinga deal to try two Libyan suspects in the Pan Am Lockerbie bombing.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981125.0886
41,ANALYSIS: ROCKY ROAD LENGTH UNKNOWN ,1211,WASHINGTON _ As several of its members observed Monday's debateand votes in the House Judiciary Committee marked only the thirdtime in the nation's history that impeachment of a president hasbeen formally considered on Capitol Hill. In that limited sense the approval of a full-scale impeachmentprocess was historic.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981005.0379
42,INCUMBENT PRESIDENT TAKES COMFORTABLE LEAD IN BRAZIL ,878,RIO DE JANEIRO Brazil _ Brazilian voters gave PresidentFernando Henrique Cardoso a comfortable lead in the first round ofballoting Sunday apparently maintaining the leadership of acountry struggling against economic crisis. With 22 percent of the vote counted Cardoso appeared to havewon 51 percent of the vote compared with 34 percent for his mainrival Luiz Inacio Lula da Silva the three-time presidentialcandidate of the leftist Workers Party. If he still has a majority when returns are complete Cardosowill be declared re-elected without facing a runoff.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981004.0152
43,China holds high-profile dissidents colleagues demand release,740,BEIJING (AP) _ China's central government ordered the arrest ofa prominent democracy campaigner and may use his contacts withexiled Chinese dissidents to charge him with harming nationalsecurity a colleague said Wednesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31050t/APW19981202.1274
44,Officials: Heads of four kidnapped foreigners found,696,GROZNY Russia (AP) _ Chechen authorities found the decapitatedheads of four kidnapped foreigners Tuesday near a remote villageafter a two-month search in the breakaway region in southernRussia.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30056t/APW19981208.0876
45,METEOR STORM POSES THREAT TO SATELLITES ,1359,Chicken Little would love this one.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/NYT19981115.0091
46,Two killed in clash between rebels and police in Indonesia,186,JAKARTA Indonesia (AP) _ Stray bullets killed two villagersduring a gunfight between separatist rebels and police in thenorthernmost Indonesian region of Aceh on Sunday witnesses said.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30034t/APW19981115.0219
47,ELECTION OF RIVALS IN BRAZIL HURTS CARDOSO REFORM PLANS,689,RIO DE JANEIRO Brazil _ Rivals of President Fernando HenriqueCardoso won important victories in gubernatorial races Sundayhanding the recently re-elected president a complex landscape forpushing through long-delayed government and economic reforms. In Sao Paulo however Brazil's most populous and wealthieststate Mario Covas appeared likely to win re-election as governordefeating former Sao Paulo mayor Paulo Maluf. Although Maluf's party forms part of the president's governingcoalition Cardoso had endorsed Covas.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30025t/NYT19981025.0180
48,FIVE SNIPER ATTACKS ON ABORTION DOCTORS SINCE 1994 ,443,Five sniper attacks against abortion doctors in Canada and theUnited States have occurred in the last four years within a fewweeks of Nov.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31013t/NYT19981025.0249
49,ANTI-ENVIRO CONGRESS ON COLLISION COURSE WITH PUBLIC ,1029,Congress is playing ``chicken'' with the president and theAmerican public.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981006.0127
50,IN SANTIAGO NEWS OF PINOCHET'S ARREST STIRS ONLY SMALL PROTEST,794,SANTIAGO Chile _ Perhaps as a sign of how much Chileans wish toforget their years of polarized politics and repression under Gen.Augusto Pinochet the immediate popular response here to thesensational news of his arrest in London has been remarkable forits moderation. About 200 supporters of the retired dictator gathered at theresidence of the British ambassador on Saturday evening to protestthe arrest some throwing fruit and eggs at the building. Some demonstrators burned a British flag in front of the nearbyresidence of the Spanish ambassador before the police arrived in atruck with water cannon at which point the protesters obedientlywithdrew. Chilean television news repeatedly showed the same videotape ofa leftist counterdemonstrator in heated discussions with theprotesting Pinochet supporters before he was arrested and carriedkicking and screaming into a police van. But in a display of uncensored political debate that would havebeen unthinkable only a decade ago under the general's ruletelevision broadcasts also showed myriad reactions to the arrestfrom political figures ranging from Communist Party leaders torightist retired generals. Many Chileans still harbor bitter memories of Pinochet'sdictatorial ways including the deaths and disappearances of morethan 3000 people in the 17 years that followed his violentoverthrow of the elected Socialist government of President SalvadorAllende in 1973. But most political analysts say a large majority wants to putthe era of radical politics and repression behind it a trendequally apparent in neighboring Argentina and Brazil which alsowent through periods of rule by military juntas. President Eduardo Frei Ruiz-Tagle in Portugal for a summitmeeting of Iberian and Latin American leaders charged that Britainwas breaking international law saying that Pinochet now anunelected senator for life carried a diplomatic passport givinghim legal immunity. Frei leads a governing coalition that includes ChristianDemocrats and Socialists and his strong defense of the general'srights was only one of a string of similar comments from civilianpoliticians who have spent most of their political careers opposingPinochet. Only one presidential candidate in next year's electionsexpressed support for the Spanish and British actions and that wasGladys Marin of the Communist Party.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30003t/NYT19981018.0160
51,ON ELECTION EVE DOUBTS CLOUD BRAZILIANS' OUTLOOK ,1011,RIO DE JANEIRO Brazil _ When Josue da Silva stepped up to theconsumer society four years ago the ground underfoot felt solidand endless. For the first time in years inflation in Brazil was undercontrol and he and his wife had steady jobs.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981001.0351
52,Kurdish rebel leader detained in Rome,491,ROME (AP) _ Abdullah Ocalan leader of Kurdish insurgents whohas been sought for years by Turkey has been detained in Romeafter stepping off a plane from Moscow Turkish and Italianofficials said Friday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981113.0541
53,IMF executive says world economic motor still ticking,546,MADRID Spain (AP) _ The chief executive of the InternationalMonetary Fund said Wednesday there should be a slight improvementin global economic fortunes next year spearheaded by Europe and theUnited States.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/APW19981014.0523
54,Nation of Islam leader meets Gadhafi,305,CAIRO Egypt (AP) _ Louis Farrakhan the leader of a U.S.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30042t/APW19981129.0652
55,BRAZILIAN PRESIDENT'S NARROW RE-ELECTION DIMS HOPE FOR REFORM,863,RIO DE JANEIRO Brazil _ Through the anxious weeks leading up tothe national elections here on Sunday as some $30 billion fledBrazil despite the doubling of domestic interest ratesinternational financial officials watched for the government totackle cost-cutting reforms as soon as voting ended. But Monday as official returns indicated President FernandoHenrique Cardoso was barely squeaking through to re-election andgovernors allied to him were locked in runoffs later this monththe road to reform is looming longer and more complex.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/NYT19981005.0331
56,AS SPENDING BILLS LAG THE DEMOCRATS ATTACK,993,WASHINGTON _ With just five days until money for the new fiscalyear runs out President Clinton and Congressional Democrats onMonday escalated their criticism of Republican leaders for notmoving faster on the 13 spending bills needed to keep thegovernment running. So far Congress has completed work on only four of those bills.Congress and the president have adopted a temporary spendingmeasure that expires Friday night at midnight.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981005.0441
57,U.S. other economic powers pushes plan to avoid global recession,867,WASHINGTON (AP) _ The United States and other economic powersmoved ahead Saturday toward an overhaul of the world's financialsystem to prevent widening market turmoil from pushing morecountries into recession.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30048t/APW19981003.0705
58,Fast-moving dust cloud has satellite operators on edge; no problems,429,LOS ANGELES (AP) _ Satellite operators reported no immediateproblems Tuesday as the Earth passed through the tail of a cometthat peppered the atmosphere with tiny bits of space junk zippingalong at 155000 mph (250000 kph).,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/APW19981117.0914
59,CONGRESS WORKS ON TAX-CUT PLAN THAT MAY WIN BIPARTISAN SUPPORT ,628,WASHINGTON _ With the Republican plan for a big tax cut havingdied without coming to a vote in the Senate Congress scrambledFriday to put together a far smaller tax package that could winbipartisan support. After giving up hope that the Senate would act on an $80billion five-year Republican tax cut plan passed last month by theHouse the House Ways and Means Committee on Friday hurriedlyconsidered and then passed on a unanimous voice vote a narrowbill to address some of the tax issues that both parties considermost pressing. The package would extend a series of expiring tax creditsaccelerate an existing plan to allow self-employed people to deduct100 percent of their health-insurance premiums and provide a breakto farmers who are hard hit by a downturn in agricultural prices. Rep.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31031t/NYT19981009.0476
60,DEMOCRATS WEIGHING THE PERSONAL AND POLITICAL ,1022,WASHINGTON _ Rep.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30050t/NYT19981007.0395
61,EMBASSY BOMB SUSPECT KNOWN FOR RELIGIOUSNESS WIT TEMPER ,2161,MORONI Comoros _ The man accused of directing the bomb attackon the American Embassy in Kenya came of age in this impoverishedIndian Ocean archipelago a land where gifted teen-agers leave hometo enroll in the radical Islamic academies of Libya Sudan andPakistan. A tightly wound brilliant student of the Koran who was thrownout of religious school for caning a lazy pupil hard enough to drawblood Abdallah Mohammed Fazul set out for Pakistan 11 years agoat age 15 to continue his education. Sometime over the next few years American authorities asserthe fell under the sway of terrorists waging what they call a holywar against the United States.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31038t/NYT19981005.0386
62,Turkish military crosses into northern Iraq to attack Kurdish,317,ANKARA Turkey (AP) _ The Turkish government which sent about10000 soldiers into northern Iraq to attack Kurdish rebels hassaid it might send forces into Syria to eradicate guerrilla basesthere according to news reports.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30028t/APW19981004.0146
63,HOW NATIONS RUN: DISASTERS AS A GUIDE ,785,MANAGUA Nicaragua _ A natural disaster as terrible as HurricaneMitch which killed more than 10000 people in Central America inthe past two weeks and left nearly 1 million more homeless teachesa lot about the way a society does or does not work.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/NYT19981107.0072
64,Turkey protests Greek deputies' invitation,204,ANKARA Turkey (AP) _ The foreign ministry on Friday protestedthe invitation by 109 Greek deputies to a Kurdish rebel leader tovisit Greece.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981106.1119
65,Asia prepares for best night to watch celestial light show,658,DOI INTHANON Thailand (AP) _ Stargazers in Asia sought highground and clear skies Tuesday to view the most spectacularcelestial fireworks in 33 years after enjoying a low-key previewMonday night.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30012t/APW19981117.0597
66,Torturers need counseling too conference hears,533,CAPE TOWN South Africa (AP) _ Torturers and bombers who carriedout atrocities defending or fighting apartheid need counseling toensure they do not repeat their crimes an expert for SouthAfrica's reconciliation body said Thursday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31001t/APW19981008.0841
67,Swissair working on further compensation for Flight 111 families,274,ZURICH Switzerland (AP) _ Swissair lawyers are looking atprocedures for making payments of up to around dlrs 137000 tofamilies of those killed in last month's crash off Nova Scotia aspokesman for the airline said Tuesday.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30016t/APW19981006.0543
68,PHILIPPINE AIRLINES MAY NOT SURVIVE WITHOUT BAILOUT ,1722,MANILA Philippines _ Christmas is a sacred holiday in thePhilippines and nowhere is that more evident than at theheadquarters of Philippine Airlines.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31041t/NYT19981218.0224
69,Kurdish rebel leader detained in Rome; Turkey seeks extradition,616,ROME (AP) _ The leader of a 14-year-old Kurdish insurgencyconsidered a terrorist by Turkey and its most-wanted criminal hasbeen arrested in Rome setting up a major battle with Italy overhis extradition.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981113.0896
70,Kurdish rebel leader detained in Rome; Turkey seeks extradition,616,ROME (AP) _ The leader of a 14-year-old Kurdish insurgencyconsidered a terrorist by Turkey and its most-wanted criminal hasbeen arrested in Rome setting up a major battle with Italy overhis extradition.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30044t/APW19981113.0895
71,Thousands rally in Tehran to protest key assembly election,382,TEHRAN Iran (AP) _ Thousands of pro-democracy demonstratorsrallied in a Tehran park Sunday to protest the rejection of scoresof candidates for the election of a powerful assembly.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31027t/APW19981018.0638
72,EDs: UPDATES with Mass quotes color; edits throughout,419,SPLIT Croatia (AP) _ On a sun-basked seaside packed withpilgrims Pope John Paul II sought Sunday to heal the wounds leftby war and totalitarian rule urging a renewal in Croatian society.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31002t/APW19981004.0171
73,Car bomb explodes; Israel suspends ratification of peace accord,823,JERUSALEM (AP) _ A car bomb exploded Friday in a Jerusalemmarket crowded with Israelis shopping for the Sabbath.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30010t/APW19981106.0520
74,Israel delays two flights from Palestinian airport,336,JERUSALEM (AP) _ Israeli security officials delayed two planesfrom taking off from the Palestinian airport on Wednesday thelatest tensions in a rare area of Israeli-Palestinian cooperation.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d30040t/APW19981230.0983
75,HURRICANES EXPOSE THIN INSURANCE COVERAGE OF PUERTO RICOHOMEOWNERS,1752,SAN JUAN Puerto Rico _ In many ways the capital of Puerto Ricodoes not look strikingly different from cities in the 50 stateslike Miami Houston and parts of New York.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31028t/NYT19981026.0341
76,Government fall returns secular and Islamic tug-of-war in Turkey,689,ANKARA Turkey (AP) _ Turkey's president began trying toconstruct a new government Wednesday but the pieces do not neatlyfit: pro-Islamic forces pressing for power and theirmilitary-backed Western-style opponents struggling to unite.,/import/linux/home/rpatil3/cs533/rpatil3_java_part2/docs/d31009t/APW19981125.0898
